Date,Department,Expense_Category,Expense_Amount
06-02-2024,Finance,Advertising,25012
12-06-2024,Sales,Logistics,81518
22-06-2024,Sales,Logistics,136907
27-12-2024,Marketing,Logistics,162370
17-05-2024,Supply Chain,Logistics,189473
21-07-2024,Sales,Salaries,125051
01-03-2024,Supply Chain,Trade Promotion,177162
19-05-2024,Admin,Advertising,64052
20-01-2024,Marketing,Advertising,43193
02-06-2024,Admin,Salaries,58618
24-09-2024,Sales,Advertising,95024
15-04-2024,Admin,Logistics,87579
15-05-2024,Finance,Salaries,162976
02-10-2024,Admin,Logistics,121460
27-08-2024,Supply Chain,Salaries,178739
16-02-2024,Supply Chain,Logistics,182145
15-12-2024,Admin,Office Expenses,21149
22-07-2024,Sales,Advertising,67908
08-01-2024,Supply Chain,Trade Promotion,183032
21-03-2024,Marketing,Logistics,41966
11-05-2024,Finance,Advertising,78970
11-07-2024,Sales,Advertising,114797
19-10-2024,Marketing,Salaries,47410
28-06-2024,Sales,Advertising,186001
20-09-2024,Supply Chain,Office Expenses,56687
10-04-2024,Sales,Salaries,1487
06-05-2024,Marketing,Advertising,91471
01-05-2024,Sales,Logistics,187831
01-06-2024,Supply Chain,Salaries,196533
09-07-2024,Admin,Trade Promotion,87242
14-12-2024,Marketing,Trade Promotion,159375
22-10-2024,Admin,Advertising,28521
13-11-2024,Supply Chain,Office Expenses,50731
04-06-2024,Marketing,Office Expenses,8983
22-02-2024,Admin,Office Expenses,7404
20-12-2024,Marketing,Trade Promotion,44474
02-11-2024,Finance,Advertising,3664
07-03-2024,Admin,Trade Promotion,107287
17-11-2024,Admin,Advertising,135114
01-12-2024,Finance,Trade Promotion,33671
28-08-2024,Supply Chain,Logistics,122984
26-08-2024,Finance,Salaries,36816
25-08-2024,Marketing,Salaries,91174
08-09-2024,Marketing,Trade Promotion,29215
18-12-2024,Marketing,Advertising,191192
19-09-2024,Supply Chain,Advertising,183538
05-10-2024,Finance,Office Expenses,61937
01-05-2024,Sales,Office Expenses,146950
04-04-2024,Admin,Trade Promotion,2139
02-03-2024,Finance,Advertising,174512
03-12-2024,Marketing,Logistics,74371
03-04-2024,Finance,Salaries,27549
25-09-2024,Finance,Advertising,64485
17-08-2024,Supply Chain,Office Expenses,16371
27-05-2024,Admin,Trade Promotion,143883
14-03-2024,Supply Chain,Advertising,84418
30-12-2024,Supply Chain,Advertising,37081
04-06-2024,Marketing,Trade Promotion,185042
09-05-2024,Supply Chain,Logistics,136161
14-02-2024,Admin,Salaries,198337
31-03-2024,Marketing,Logistics,22572
14-02-2024,Supply Chain,Logistics,85960
13-11-2024,Marketing,Office Expenses,1136
24-09-2024,Finance,Salaries,140855
08-06-2024,Admin,Logistics,149493
11-09-2024,Sales,Advertising,161458
24-05-2024,Sales,Advertising,135196
07-11-2024,Sales,Office Expenses,88651
13-04-2024,Finance,Salaries,101015
03-10-2024,Supply Chain,Trade Promotion,29927
09-06-2024,Finance,Advertising,159838
09-12-2024,Sales,Trade Promotion,33147
24-02-2024,Supply Chain,Office Expenses,48349
07-09-2024,Finance,Advertising,180678
20-03-2024,Supply Chain,Advertising,68125
03-01-2024,Sales,Logistics,24167
27-03-2024,Admin,Office Expenses,49734
25-05-2024,Sales,Office Expenses,119122
10-01-2024,Sales,Logistics,72210
01-02-2024,Marketing,Office Expenses,66937
23-08-2024,Supply Chain,Logistics,78505
28-11-2024,Marketing,Logistics,56373
14-10-2024,Finance,Logistics,57037
21-10-2024,Finance,Salaries,103597
28-11-2024,Sales,Advertising,171712
26-08-2024,Marketing,Advertising,107481
09-01-2024,Marketing,Advertising,195855
24-09-2024,Admin,Salaries,66693
06-01-2024,Admin,Advertising,114579
27-02-2024,Sales,Logistics,41881
15-04-2024,Finance,Trade Promotion,79231
15-05-2024,Admin,Trade Promotion,137264
04-07-2024,Marketing,Advertising,79679
19-07-2024,Marketing,Office Expenses,195449
07-09-2024,Sales,Advertising,175444
11-05-2024,Supply Chain,Salaries,91598
03-10-2024,Supply Chain,Office Expenses,30532
08-01-2024,Finance,Trade Promotion,123377
25-02-2024,Sales,Logistics,106467
17-10-2024,Admin,Advertising,158804
28-05-2024,Finance,Advertising,142106
26-01-2024,Admin,Advertising,38485
19-02-2024,Sales,Office Expenses,164290
18-09-2024,Finance,Salaries,133236
12-05-2024,Finance,Logistics,55797
07-11-2024,Admin,Logistics,134998
09-07-2024,Supply Chain,Advertising,139463
28-04-2024,Supply Chain,Logistics,59334
21-01-2024,Admin,Logistics,150529
22-02-2024,Marketing,Advertising,114714
29-06-2024,Marketing,Advertising,110347
26-07-2024,Finance,Salaries,167970
02-02-2024,Admin,Advertising,117089
13-04-2024,Supply Chain,Advertising,27611
07-08-2024,Sales,Salaries,75343
22-06-2024,Marketing,Salaries,142204
24-02-2024,Sales,Logistics,33908
19-11-2024,Supply Chain,Advertising,196215
19-02-2024,Admin,Office Expenses,86055
12-02-2024,Marketing,Advertising,34438
27-05-2024,Finance,Logistics,86098
29-05-2024,Sales,Trade Promotion,58365
05-09-2024,Marketing,Salaries,46407
29-06-2024,Supply Chain,Advertising,152723
29-07-2024,Marketing,Office Expenses,118987
27-10-2024,Marketing,Office Expenses,47617
17-09-2024,Admin,Advertising,175046
04-01-2024,Admin,Trade Promotion,118479
22-05-2024,Finance,Salaries,172768
09-09-2024,Admin,Advertising,145576
09-12-2024,Supply Chain,Logistics,100553
06-04-2024,Finance,Salaries,118964
20-12-2024,Sales,Office Expenses,191897
16-08-2024,Finance,Trade Promotion,85871
31-08-2024,Admin,Logistics,65941
05-04-2024,Finance,Advertising,53411
17-03-2024,Finance,Salaries,36986
21-03-2024,Marketing,Advertising,192855
09-03-2024,Marketing,Office Expenses,184161
21-06-2024,Marketing,Trade Promotion,193782
12-03-2024,Finance,Logistics,125698
29-10-2024,Admin,Office Expenses,113580
30-03-2024,Supply Chain,Advertising,194260
24-09-2024,Supply Chain,Logistics,130470
08-02-2024,Sales,Advertising,194323
02-05-2024,Supply Chain,Advertising,73822
19-02-2024,Admin,Trade Promotion,156814
04-02-2024,Supply Chain,Trade Promotion,43089
12-11-2024,Finance,Trade Promotion,43293
28-11-2024,Finance,Trade Promotion,155108
21-06-2024,Marketing,Trade Promotion,51095
20-10-2024,Sales,Salaries,96516
25-09-2024,Supply Chain,Trade Promotion,143365
04-12-2024,Finance,Trade Promotion,185132
11-04-2024,Supply Chain,Logistics,140599
20-10-2024,Marketing,Logistics,187718
21-08-2024,Sales,Logistics,71105
05-04-2024,Marketing,Salaries,70466
20-12-2024,Supply Chain,Trade Promotion,129410
30-07-2024,Supply Chain,Salaries,47759
05-12-2024,Marketing,Salaries,61703
17-03-2024,Admin,Advertising,70404
30-03-2024,Marketing,Salaries,73616
30-10-2024,Finance,Advertising,3399
21-03-2024,Admin,Office Expenses,71794
03-04-2024,Admin,Logistics,50767
16-09-2024,Supply Chain,Advertising,53395
15-05-2024,Marketing,Office Expenses,24772
13-03-2024,Marketing,Salaries,149641
26-03-2024,Finance,Advertising,117179
29-12-2024,Supply Chain,Salaries,166070
19-01-2024,Finance,Advertising,17086
18-12-2024,Admin,Logistics,140809
10-07-2024,Supply Chain,Salaries,48131
11-05-2024,Supply Chain,Trade Promotion,24227
10-07-2024,Supply Chain,Trade Promotion,126686
03-05-2024,Marketing,Advertising,50717
17-07-2024,Supply Chain,Logistics,147970
15-09-2024,Finance,Salaries,144021
18-07-2024,Finance,Salaries,157629
25-04-2024,Finance,Advertising,169071
21-01-2024,Admin,Logistics,159748
31-07-2024,Admin,Office Expenses,100602
02-07-2024,Admin,Salaries,126935
05-04-2024,Marketing,Office Expenses,196615
26-03-2024,Supply Chain,Salaries,51560
16-04-2024,Marketing,Advertising,66346
12-07-2024,Admin,Logistics,198433
13-03-2024,Marketing,Trade Promotion,72032
25-07-2024,Supply Chain,Advertising,41497
26-10-2024,Finance,Trade Promotion,195054
25-11-2024,Finance,Office Expenses,139073
19-05-2024,Admin,Office Expenses,116443
11-02-2024,Marketing,Advertising,29378
25-04-2024,Finance,Office Expenses,157818
30-01-2024,Marketing,Salaries,50593
30-12-2024,Finance,Logistics,55379
03-06-2024,Marketing,Advertising,32780
09-11-2024,Finance,Office Expenses,64495
17-03-2024,Marketing,Office Expenses,93416
01-07-2024,Sales,Office Expenses,115503
30-12-2024,Supply Chain,Office Expenses,135629
07-11-2024,Marketing,Trade Promotion,131524
30-05-2024,Marketing,Salaries,101164
09-10-2024,Admin,Salaries,8381
01-08-2024,Marketing,Office Expenses,194795
04-09-2024,Marketing,Trade Promotion,146344
29-06-2024,Admin,Office Expenses,132999
17-06-2024,Sales,Logistics,166225
04-04-2024,Marketing,Salaries,2000
15-04-2024,Admin,Advertising,122366
16-06-2024,Supply Chain,Logistics,195302
29-08-2024,Finance,Trade Promotion,188921
13-11-2024,Supply Chain,Advertising,187042
16-01-2024,Sales,Logistics,172965
19-09-2024,Supply Chain,Office Expenses,167094
31-10-2024,Finance,Office Expenses,1127
07-07-2024,Sales,Salaries,160627
24-07-2024,Supply Chain,Advertising,90751
08-12-2024,Supply Chain,Advertising,142862
21-07-2024,Marketing,Trade Promotion,19781
10-02-2024,Sales,Salaries,1712
04-01-2024,Supply Chain,Office Expenses,54889
19-10-2024,Finance,Advertising,93745
25-10-2024,Supply Chain,Advertising,66802
07-02-2024,Marketing,Salaries,140254
03-05-2024,Finance,Advertising,112949
08-12-2024,Admin,Advertising,177326
24-01-2024,Marketing,Logistics,55838
07-12-2024,Supply Chain,Advertising,20351
11-04-2024,Marketing,Trade Promotion,184030
18-02-2024,Marketing,Salaries,53231
05-04-2024,Finance,Salaries,182352
27-12-2024,Sales,Trade Promotion,158912
24-12-2024,Admin,Logistics,38809
24-06-2024,Admin,Logistics,73644
12-04-2024,Sales,Office Expenses,157927
09-04-2024,Marketing,Advertising,11776
23-06-2024,Admin,Trade Promotion,73195
21-01-2024,Finance,Salaries,130090
26-07-2024,Supply Chain,Logistics,50002
01-05-2024,Finance,Trade Promotion,136467
16-05-2024,Finance,Office Expenses,146173
10-12-2024,Supply Chain,Office Expenses,86975
01-12-2024,Supply Chain,Advertising,172833
25-11-2024,Finance,Logistics,119993
04-04-2024,Admin,Office Expenses,129506
24-11-2024,Admin,Advertising,48120
10-10-2024,Finance,Logistics,6048
30-12-2024,Supply Chain,Office Expenses,91446
29-11-2024,Finance,Salaries,104327
17-09-2024,Marketing,Salaries,70033
17-08-2024,Marketing,Trade Promotion,77021
07-02-2024,Marketing,Salaries,77487
10-10-2024,Marketing,Salaries,145603
09-06-2024,Supply Chain,Logistics,13948
30-10-2024,Marketing,Advertising,29266
10-07-2024,Marketing,Salaries,15659
16-12-2024,Supply Chain,Logistics,35466
19-09-2024,Sales,Salaries,86075
31-03-2024,Admin,Office Expenses,51696
15-05-2024,Admin,Logistics,7638
20-09-2024,Marketing,Advertising,131057
15-09-2024,Marketing,Trade Promotion,163845
04-01-2024,Marketing,Advertising,62357
27-05-2024,Sales,Trade Promotion,5669
11-05-2024,Finance,Salaries,110825
21-01-2024,Sales,Logistics,165276
07-12-2024,Supply Chain,Advertising,195480
20-02-2024,Admin,Office Expenses,151528
23-03-2024,Marketing,Advertising,156340
29-09-2024,Admin,Trade Promotion,88441
01-02-2024,Sales,Salaries,108443
29-01-2024,Marketing,Logistics,157420
16-12-2024,Admin,Salaries,59489
06-12-2024,Finance,Office Expenses,117196
26-06-2024,Supply Chain,Trade Promotion,76265
20-07-2024,Marketing,Trade Promotion,168141
17-06-2024,Marketing,Trade Promotion,52106
19-10-2024,Finance,Salaries,22200
28-10-2024,Marketing,Office Expenses,190448
10-01-2024,Admin,Advertising,191790
15-08-2024,Marketing,Trade Promotion,14071
30-05-2024,Marketing,Trade Promotion,4741
04-01-2024,Finance,Trade Promotion,27375
04-07-2024,Marketing,Trade Promotion,191295
02-07-2024,Marketing,Office Expenses,94966
06-05-2024,Marketing,Logistics,28660
31-10-2024,Finance,Trade Promotion,60150
08-10-2024,Finance,Logistics,187996
17-04-2024,Admin,Salaries,180498
25-10-2024,Finance,Salaries,92849
15-02-2024,Finance,Advertising,187528
16-05-2024,Marketing,Trade Promotion,196995
25-03-2024,Admin,Salaries,40130
12-05-2024,Marketing,Office Expenses,197052
27-05-2024,Admin,Office Expenses,128623
17-06-2024,Supply Chain,Logistics,35746
14-11-2024,Marketing,Office Expenses,84078
04-08-2024,Admin,Trade Promotion,3077
05-11-2024,Supply Chain,Salaries,15861
13-02-2024,Supply Chain,Salaries,57655
09-09-2024,Sales,Salaries,160541
28-11-2024,Sales,Trade Promotion,93567
19-11-2024,Sales,Advertising,129530
02-06-2024,Supply Chain,Logistics,16762
24-07-2024,Admin,Office Expenses,31839
05-11-2024,Admin,Logistics,137851
20-03-2024,Finance,Logistics,47903
16-10-2024,Marketing,Salaries,18035
05-01-2024,Supply Chain,Office Expenses,138773
16-12-2024,Finance,Logistics,177696
24-04-2024,Supply Chain,Salaries,9027
15-04-2024,Sales,Trade Promotion,106894
02-12-2024,Supply Chain,Salaries,168954
04-08-2024,Sales,Salaries,119522
28-01-2024,Sales,Trade Promotion,33908
24-05-2024,Admin,Office Expenses,190399
04-10-2024,Sales,Office Expenses,13311
05-12-2024,Finance,Office Expenses,81730
15-02-2024,Marketing,Advertising,114392
22-06-2024,Admin,Logistics,151121
27-02-2024,Admin,Salaries,136634
21-10-2024,Admin,Advertising,108670
21-05-2024,Marketing,Logistics,52698
14-10-2024,Supply Chain,Salaries,129700
31-08-2024,Admin,Office Expenses,117328
02-05-2024,Sales,Trade Promotion,121796
27-07-2024,Supply Chain,Advertising,111628
07-09-2024,Admin,Trade Promotion,166401
28-10-2024,Admin,Office Expenses,10335
13-04-2024,Finance,Logistics,170296
09-05-2024,Finance,Trade Promotion,35116
03-03-2024,Finance,Trade Promotion,29139
14-04-2024,Admin,Logistics,42014
14-02-2024,Admin,Advertising,156705
10-05-2024,Finance,Advertising,132816
21-12-2024,Sales,Salaries,140531
08-02-2024,Finance,Salaries,19854
21-11-2024,Admin,Office Expenses,115722
03-10-2024,Admin,Logistics,54109
20-11-2024,Marketing,Logistics,162622
21-07-2024,Sales,Salaries,28966
08-10-2024,Supply Chain,Advertising,109078
27-10-2024,Sales,Advertising,147513
22-12-2024,Finance,Salaries,60841
27-08-2024,Finance,Logistics,30976
15-01-2024,Sales,Trade Promotion,168217
13-04-2024,Marketing,Trade Promotion,184015
07-12-2024,Marketing,Office Expenses,17004
19-11-2024,Supply Chain,Advertising,36967
14-02-2024,Finance,Logistics,19876
23-04-2024,Admin,Advertising,155748
25-07-2024,Supply Chain,Trade Promotion,6228
16-10-2024,Sales,Logistics,168321
12-05-2024,Marketing,Salaries,180577
10-05-2024,Supply Chain,Trade Promotion,22232
23-03-2024,Admin,Trade Promotion,181354
06-11-2024,Marketing,Logistics,127576
01-03-2024,Admin,Advertising,129657
17-09-2024,Admin,Trade Promotion,167407
11-04-2024,Marketing,Office Expenses,72392
29-07-2024,Admin,Trade Promotion,29089
12-03-2024,Supply Chain,Advertising,28819
06-12-2024,Marketing,Salaries,133657
18-07-2024,Marketing,Trade Promotion,60841
19-11-2024,Marketing,Logistics,135192
07-09-2024,Finance,Advertising,183674
12-06-2024,Finance,Trade Promotion,141865
21-11-2024,Marketing,Salaries,191119
10-09-2024,Supply Chain,Logistics,29099
02-07-2024,Admin,Office Expenses,70263
23-03-2024,Supply Chain,Trade Promotion,7118
06-01-2024,Finance,Trade Promotion,34790
06-11-2024,Admin,Advertising,98891
09-12-2024,Finance,Salaries,5619
01-03-2024,Admin,Advertising,167139
12-05-2024,Marketing,Office Expenses,15692
05-06-2024,Marketing,Office Expenses,58294
08-03-2024,Marketing,Trade Promotion,94082
04-07-2024,Admin,Office Expenses,18796
19-04-2024,Sales,Logistics,152048
09-11-2024,Marketing,Trade Promotion,70910
28-06-2024,Supply Chain,Logistics,122918
26-05-2024,Marketing,Office Expenses,181614
18-01-2024,Finance,Advertising,119641
13-10-2024,Marketing,Trade Promotion,88505
01-01-2024,Marketing,Advertising,51642
06-01-2024,Sales,Trade Promotion,175079
06-02-2024,Sales,Advertising,43750
14-09-2024,Finance,Salaries,165765
27-02-2024,Supply Chain,Trade Promotion,85333
22-08-2024,Supply Chain,Trade Promotion,133018
26-10-2024,Admin,Logistics,197946
26-10-2024,Sales,Salaries,9532
09-10-2024,Finance,Advertising,26224
06-02-2024,Marketing,Salaries,110673
09-12-2024,Supply Chain,Advertising,3394
12-12-2024,Admin,Trade Promotion,191548
29-04-2024,Admin,Logistics,185028
04-04-2024,Marketing,Advertising,171163
06-06-2024,Admin,Trade Promotion,162634
28-03-2024,Sales,Office Expenses,129160
05-03-2024,Finance,Office Expenses,7585
25-12-2024,Sales,Office Expenses,42680
22-05-2024,Finance,Trade Promotion,182620
06-10-2024,Marketing,Trade Promotion,83448
26-04-2024,Sales,Advertising,92658
11-01-2024,Marketing,Logistics,86990
28-12-2024,Supply Chain,Advertising,131095
21-04-2024,Admin,Salaries,147974
19-02-2024,Finance,Trade Promotion,63396
30-01-2024,Admin,Trade Promotion,22623
18-01-2024,Marketing,Logistics,5856
20-04-2024,Admin,Advertising,197140
09-06-2024,Finance,Advertising,180967
27-12-2024,Marketing,Trade Promotion,110875
10-05-2024,Finance,Office Expenses,112708
17-11-2024,Supply Chain,Advertising,162385
23-09-2024,Finance,Salaries,170533
06-12-2024,Admin,Office Expenses,75299
05-10-2024,Sales,Office Expenses,4306
02-07-2024,Marketing,Advertising,148330
05-03-2024,Supply Chain,Office Expenses,34066
21-02-2024,Sales,Salaries,143265
19-09-2024,Sales,Advertising,193096
20-04-2024,Sales,Logistics,179146
02-12-2024,Marketing,Advertising,91105
11-06-2024,Marketing,Trade Promotion,31440
02-11-2024,Sales,Logistics,37074
29-06-2024,Finance,Advertising,49954
27-11-2024,Finance,Office Expenses,140668
03-11-2024,Sales,Trade Promotion,111508
07-12-2024,Finance,Trade Promotion,58066
30-07-2024,Sales,Logistics,105866
12-08-2024,Marketing,Salaries,124553
17-07-2024,Finance,Trade Promotion,40676
01-07-2024,Supply Chain,Advertising,101308
19-09-2024,Marketing,Office Expenses,2602
30-05-2024,Sales,Logistics,63755
08-05-2024,Supply Chain,Salaries,157010
04-09-2024,Supply Chain,Office Expenses,111462
20-08-2024,Marketing,Salaries,117965
24-09-2024,Supply Chain,Logistics,67797
06-04-2024,Finance,Logistics,171604
07-09-2024,Supply Chain,Salaries,81638
27-09-2024,Supply Chain,Trade Promotion,158061
09-10-2024,Admin,Logistics,145298
30-11-2024,Supply Chain,Salaries,19562
31-10-2024,Supply Chain,Trade Promotion,172315
04-05-2024,Finance,Trade Promotion,66874
20-02-2024,Supply Chain,Logistics,88247
31-05-2024,Supply Chain,Advertising,74376
08-11-2024,Marketing,Salaries,177256
29-12-2024,Admin,Office Expenses,9519
19-02-2024,Supply Chain,Advertising,92435
15-10-2024,Sales,Trade Promotion,70025
24-07-2024,Admin,Office Expenses,89740
15-03-2024,Finance,Advertising,183410
26-01-2024,Supply Chain,Trade Promotion,34276
13-08-2024,Marketing,Office Expenses,56562
30-04-2024,Marketing,Office Expenses,189903
10-04-2024,Finance,Trade Promotion,38745
19-10-2024,Finance,Logistics,106494
20-08-2024,Sales,Trade Promotion,146827
20-03-2024,Finance,Salaries,193108
24-09-2024,Finance,Trade Promotion,155723
16-02-2024,Admin,Salaries,136918
11-10-2024,Supply Chain,Office Expenses,116528
18-09-2024,Sales,Trade Promotion,86091
22-09-2024,Sales,Advertising,52932
09-05-2024,Sales,Trade Promotion,131698
22-03-2024,Supply Chain,Logistics,180235
31-10-2024,Finance,Trade Promotion,128997
23-05-2024,Finance,Trade Promotion,167708
09-07-2024,Admin,Office Expenses,161259
15-09-2024,Admin,Logistics,90761
08-01-2024,Sales,Trade Promotion,16018
12-04-2024,Supply Chain,Advertising,140065
06-02-2024,Finance,Office Expenses,2716
23-03-2024,Supply Chain,Salaries,87612
03-09-2024,Finance,Logistics,70821
17-11-2024,Supply Chain,Logistics,86849
06-02-2024,Supply Chain,Office Expenses,61735
15-09-2024,Sales,Salaries,7328
07-04-2024,Admin,Office Expenses,53682
07-04-2024,Marketing,Logistics,48168
17-04-2024,Supply Chain,Office Expenses,114725
19-10-2024,Marketing,Office Expenses,185281
23-08-2024,Sales,Office Expenses,84469
02-05-2024,Supply Chain,Logistics,62415
09-06-2024,Sales,Trade Promotion,197715
01-08-2024,Marketing,Salaries,7402
26-08-2024,Finance,Logistics,153532
05-09-2024,Supply Chain,Trade Promotion,77201
27-10-2024,Sales,Salaries,133785
04-03-2024,Marketing,Office Expenses,142287
29-02-2024,Supply Chain,Trade Promotion,173495
26-05-2024,Marketing,Advertising,185638
24-10-2024,Finance,Salaries,15977
22-12-2024,Supply Chain,Trade Promotion,110130
15-01-2024,Sales,Salaries,56939
02-11-2024,Sales,Office Expenses,177443
03-12-2024,Sales,Advertising,183053
26-07-2024,Sales,Trade Promotion,165071
17-10-2024,Supply Chain,Logistics,15727
11-11-2024,Finance,Salaries,48928
12-04-2024,Finance,Trade Promotion,161563
23-09-2024,Sales,Office Expenses,78154
06-06-2024,Sales,Salaries,158769
15-02-2024,Sales,Trade Promotion,122795
17-09-2024,Sales,Office Expenses,135893
06-03-2024,Supply Chain,Salaries,187045
27-10-2024,Finance,Office Expenses,3124
01-01-2024,Admin,Trade Promotion,63864
24-02-2024,Admin,Trade Promotion,188707
22-04-2024,Finance,Logistics,40442
23-06-2024,Sales,Office Expenses,149018
30-05-2024,Admin,Salaries,180994
14-06-2024,Supply Chain,Salaries,31794
28-09-2024,Sales,Logistics,117213
14-01-2024,Finance,Advertising,29302
06-09-2024,Finance,Logistics,175595
18-09-2024,Marketing,Salaries,64741
16-09-2024,Supply Chain,Office Expenses,118207
20-11-2024,Supply Chain,Logistics,140583
17-10-2024,Marketing,Office Expenses,101611
02-06-2024,Marketing,Advertising,85868
03-09-2024,Marketing,Salaries,101100
15-07-2024,Supply Chain,Advertising,23687
01-06-2024,Marketing,Office Expenses,196596
27-10-2024,Supply Chain,Advertising,168962
22-03-2024,Marketing,Trade Promotion,112977
23-12-2024,Admin,Office Expenses,70046
06-06-2024,Finance,Logistics,27257
29-02-2024,Supply Chain,Office Expenses,115149
14-10-2024,Sales,Logistics,76613
08-04-2024,Sales,Advertising,51080
24-03-2024,Marketing,Salaries,49877
13-10-2024,Marketing,Trade Promotion,89873
31-03-2024,Supply Chain,Advertising,78024
01-03-2024,Admin,Office Expenses,13848
24-05-2024,Sales,Salaries,107301
27-06-2024,Supply Chain,Logistics,184761
22-05-2024,Sales,Office Expenses,77989
10-09-2024,Finance,Advertising,168636
19-05-2024,Marketing,Advertising,16356
11-01-2024,Supply Chain,Salaries,193620
27-12-2024,Marketing,Office Expenses,52052
12-03-2024,Supply Chain,Office Expenses,75513
07-03-2024,Marketing,Logistics,147591
12-08-2024,Marketing,Advertising,196040
25-04-2024,Supply Chain,Trade Promotion,13859
25-01-2024,Finance,Advertising,141879
20-10-2024,Sales,Trade Promotion,73695
26-12-2024,Supply Chain,Salaries,192592
05-04-2024,Finance,Salaries,138370
25-06-2024,Admin,Advertising,194436
22-01-2024,Marketing,Advertising,97455
22-08-2024,Marketing,Trade Promotion,85997
13-07-2024,Sales,Advertising,158545
30-07-2024,Sales,Salaries,60510
22-05-2024,Marketing,Salaries,49486
27-10-2024,Marketing,Logistics,114323
30-12-2024,Supply Chain,Trade Promotion,44782
10-02-2024,Sales,Office Expenses,129966
01-11-2024,Supply Chain,Advertising,116202
24-10-2024,Supply Chain,Salaries,37313
12-07-2024,Marketing,Trade Promotion,166278
05-05-2024,Sales,Logistics,128066
06-04-2024,Finance,Trade Promotion,103447
18-03-2024,Sales,Advertising,155277
15-05-2024,Supply Chain,Office Expenses,117480
22-03-2024,Supply Chain,Trade Promotion,151304
26-08-2024,Marketing,Advertising,13752
03-07-2024,Admin,Logistics,120135
27-01-2024,Sales,Trade Promotion,23824
11-04-2024,Finance,Advertising,50911
16-06-2024,Sales,Trade Promotion,113375
20-07-2024,Sales,Trade Promotion,137356
29-07-2024,Supply Chain,Logistics,190908
04-08-2024,Marketing,Trade Promotion,134723
07-06-2024,Finance,Logistics,147275
29-11-2024,Finance,Trade Promotion,127183
30-11-2024,Sales,Salaries,65866
13-03-2024,Sales,Office Expenses,105289
12-03-2024,Finance,Office Expenses,83999
29-12-2024,Finance,Salaries,47920
20-05-2024,Admin,Office Expenses,84829
11-03-2024,Admin,Logistics,123485
14-07-2024,Finance,Advertising,92042
24-05-2024,Marketing,Logistics,156017
22-02-2024,Admin,Advertising,61148
02-01-2024,Supply Chain,Logistics,40580
09-06-2024,Supply Chain,Logistics,141534
24-08-2024,Supply Chain,Advertising,197469
11-09-2024,Sales,Salaries,194199
01-11-2024,Admin,Salaries,120629
08-05-2024,Sales,Salaries,152893
26-04-2024,Marketing,Salaries,115447
03-04-2024,Finance,Logistics,126842
27-10-2024,Finance,Logistics,113424
01-02-2024,Marketing,Trade Promotion,185438
02-03-2024,Admin,Office Expenses,14258
16-12-2024,Marketing,Trade Promotion,166435
19-11-2024,Finance,Office Expenses,189701
12-06-2024,Finance,Office Expenses,114604
22-05-2024,Marketing,Logistics,37527
23-04-2024,Sales,Salaries,174539
18-03-2024,Marketing,Advertising,76270
18-01-2024,Sales,Logistics,115485
18-05-2024,Admin,Advertising,56886
01-12-2024,Finance,Trade Promotion,74795
22-05-2024,Supply Chain,Salaries,122919
21-07-2024,Supply Chain,Trade Promotion,83594
05-09-2024,Finance,Salaries,123552
19-11-2024,Marketing,Logistics,172377
03-03-2024,Finance,Advertising,149804
03-07-2024,Marketing,Salaries,27615
02-06-2024,Marketing,Office Expenses,53732
27-12-2024,Finance,Logistics,172340
28-11-2024,Supply Chain,Logistics,86856
07-12-2024,Finance,Salaries,19259
13-04-2024,Marketing,Salaries,174554
25-03-2024,Admin,Trade Promotion,165590
18-05-2024,Supply Chain,Logistics,3887
04-07-2024,Marketing,Office Expenses,129701
17-11-2024,Supply Chain,Advertising,153336
04-05-2024,Sales,Office Expenses,134054
11-12-2024,Finance,Advertising,67526
26-04-2024,Finance,Trade Promotion,192221
22-05-2024,Supply Chain,Salaries,158882
31-08-2024,Sales,Advertising,102575
10-09-2024,Admin,Office Expenses,97193
20-02-2024,Admin,Salaries,103144
06-05-2024,Admin,Office Expenses,147009
17-08-2024,Supply Chain,Trade Promotion,20206
26-06-2024,Marketing,Trade Promotion,164286
26-05-2024,Finance,Office Expenses,24704
15-03-2024,Sales,Office Expenses,16950
27-11-2024,Sales,Office Expenses,146639
27-03-2024,Admin,Advertising,84221
01-01-2024,Admin,Logistics,15090
15-12-2024,Sales,Logistics,118785
08-02-2024,Finance,Logistics,5220
26-10-2024,Sales,Advertising,195675
21-01-2024,Admin,Logistics,148575
31-05-2024,Admin,Logistics,58176
19-05-2024,Supply Chain,Logistics,5503
06-07-2024,Admin,Office Expenses,92454
07-03-2024,Supply Chain,Advertising,190829
09-06-2024,Finance,Office Expenses,110976
17-03-2024,Admin,Office Expenses,86134
01-09-2024,Admin,Salaries,160667
24-10-2024,Sales,Advertising,14005
26-10-2024,Admin,Trade Promotion,196160
08-11-2024,Finance,Advertising,189292
23-05-2024,Marketing,Logistics,46432
24-03-2024,Sales,Trade Promotion,167752
11-08-2024,Finance,Office Expenses,129126
02-08-2024,Supply Chain,Advertising,165788
08-07-2024,Sales,Logistics,185559
09-07-2024,Admin,Trade Promotion,121766
05-10-2024,Sales,Salaries,79174
12-03-2024,Supply Chain,Salaries,37362
04-01-2024,Marketing,Advertising,92609
23-11-2024,Admin,Salaries,178912
30-05-2024,Finance,Logistics,192052
03-02-2024,Marketing,Trade Promotion,186565
05-11-2024,Supply Chain,Advertising,90448
